order,where_it_appears,slot,photo_id,phase,crop,export_width,source_folder,notes
022,"Blackout Packages 1. Overview frame",blackout-overview.webp,,2,4:3,1100,"04 — Blackout & Chrome Delete","One strong wide shot of the work being performed."
023,"Blackout Packages 2. Coverage card 1",blackout-cov-1.webp,,2,4:5,560,"04 — Blackout & Chrome Delete",""
024,"Blackout Packages 2. Coverage card 2",blackout-cov-2.webp,,2,4:5,560,"04 — Blackout & Chrome Delete",""
025,"Blackout Packages 2. Coverage card 3",blackout-cov-3.webp,,2,4:5,560,"04 — Blackout & Chrome Delete",""
026,"Blackout Packages 2. Coverage card 4",blackout-cov-4.webp,,2,4:5,560,"04 — Blackout & Chrome Delete",""
027,"Blackout Packages 3. Reference, large left",blackout-ref-1.webp,,2,1.56:1,1340,"04 — Blackout & Chrome Delete","The biggest frame in the mosaic."
028,"Blackout Packages 3. Reference, small upper right",blackout-ref-2.webp,,2,2.32:1,960,"04 — Blackout & Chrome Delete","Wide crop, roughly 2.3 to 1."
029,"Blackout Packages 3. Reference, small lower right",blackout-ref-3.webp,,2,2.32:1,960,"04 — Blackout & Chrome Delete","Wide crop, roughly 2.3 to 1."
030,"Blackout Packages 3. Reference, full width band",blackout-ref-4.webp,,2,4.83:1,2320,"04 — Blackout & Chrome Delete","Very wide letterbox. A detail crop works, a whole car does not."
031,"Paint Protection Film 1. Overview frame",ppf-overview.webp,,2,4:3,1100,"02 — Paint Protection Film PPF","One strong wide shot of the work being performed."
032,"Paint Protection Film 2. Coverage card 1",ppf-cov-1.webp,,2,4:5,560,"02 — Paint Protection Film PPF",""
033,"Paint Protection Film 2. Coverage card 2",ppf-cov-2.webp,,2,4:5,560,"02 — Paint Protection Film PPF",""
034,"Paint Protection Film 2. Coverage card 3",ppf-cov-3.webp,,2,4:5,560,"02 — Paint Protection Film PPF",""
035,"Paint Protection Film 2. Coverage card 4",ppf-cov-4.webp,,2,4:5,560,"02 — Paint Protection Film PPF",""
036,"Paint Protection Film 3. Reference, large left",ppf-ref-1.webp,,2,1.56:1,1340,"02 — Paint Protection Film PPF","The biggest frame in the mosaic."
037,"Paint Protection Film 3. Reference, small upper right",ppf-ref-2.webp,,2,2.32:1,960,"02 — Paint Protection Film PPF","Wide crop, roughly 2.3 to 1."
038,"Paint Protection Film 3. Reference, small lower right",ppf-ref-3.webp,,2,2.32:1,960,"02 — Paint Protection Film PPF","Wide crop, roughly 2.3 to 1."
039,"Paint Protection Film 3. Reference, full width band",ppf-ref-4.webp,,2,4.83:1,2320,"02 — Paint Protection Film PPF","Very wide letterbox. A detail crop works, a whole car does not."
040,"Vehicle Wraps 1. Overview frame",wraps-overview.webp,,2,4:3,1100,"01 — Vehicle Wraps","One strong wide shot of the work being performed."
041,"Vehicle Wraps 2. Coverage card 1",wraps-cov-1.webp,,2,4:5,560,"01 — Vehicle Wraps",""
042,"Vehicle Wraps 2. Coverage card 2",wraps-cov-2.webp,,2,4:5,560,"01 — Vehicle Wraps",""
043,"Vehicle Wraps 2. Coverage card 3",wraps-cov-3.webp,,2,4:5,560,"01 — Vehicle Wraps",""
044,"Vehicle Wraps 2. Coverage card 4",wraps-cov-4.webp,,2,4:5,560,"01 — Vehicle Wraps",""
045,"Vehicle Wraps 3. Reference, large left",wraps-ref-1.webp,,2,1.56:1,1340,"01 — Vehicle Wraps","The biggest frame in the mosaic."
046,"Vehicle Wraps 3. Reference, small upper right",wraps-ref-2.webp,,2,2.32:1,960,"01 — Vehicle Wraps","Wide crop, roughly 2.3 to 1."
047,"Vehicle Wraps 3. Reference, small lower right",wraps-ref-3.webp,,2,2.32:1,960,"01 — Vehicle Wraps","Wide crop, roughly 2.3 to 1."
048,"Vehicle Wraps 3. Reference, full width band",wraps-ref-4.webp,,2,4.83:1,2320,"01 — Vehicle Wraps","Very wide letterbox. A detail crop works, a whole car does not."
049,"Wheels & Fitment 1. Overview frame",wheels-overview.webp,,2,4:3,1100,"05 — Wheels & Tires","One strong wide shot of the work being performed."
050,"Wheels & Fitment 2. Coverage card 1",wheels-cov-1.webp,,2,4:5,560,"05 — Wheels & Tires",""
051,"Wheels & Fitment 2. Coverage card 2",wheels-cov-2.webp,,2,4:5,560,"05 — Wheels & Tires",""
052,"Wheels & Fitment 2. Coverage card 3",wheels-cov-3.webp,,2,4:5,560,"05 — Wheels & Tires",""
053,"Wheels & Fitment 2. Coverage card 4",wheels-cov-4.webp,,2,4:5,560,"05 — Wheels & Tires",""
054,"Wheels & Fitment 3. Reference, large left",wheels-ref-1.webp,,2,1.56:1,1340,"05 — Wheels & Tires","The biggest frame in the mosaic."
055,"Wheels & Fitment 3. Reference, small upper right",wheels-ref-2.webp,,2,2.32:1,960,"05 — Wheels & Tires","Wide crop, roughly 2.3 to 1."
056,"Wheels & Fitment 3. Reference, small lower right",wheels-ref-3.webp,,2,2.32:1,960,"05 — Wheels & Tires","Wide crop, roughly 2.3 to 1."
057,"Wheels & Fitment 3. Reference, full width band",wheels-ref-4.webp,,2,4.83:1,2320,"05 — Wheels & Tires","Very wide letterbox. A detail crop works, a whole car does not."
058,"Interior Transformation 1. Overview frame",interior-overview.webp,,2,4:3,1100,"03 — Custom Interiors","One strong wide shot of the work being performed."
059,"Interior Transformation 2. Coverage card 1",interior-cov-1.webp,,2,4:5,560,"03 — Custom Interiors",""
060,"Interior Transformation 2. Coverage card 2",interior-cov-2.webp,,2,4:5,560,"03 — Custom Interiors",""
061,"Interior Transformation 2. Coverage card 3",interior-cov-3.webp,,2,4:5,560,"03 — Custom Interiors",""
062,"Interior Transformation 2. Coverage card 4",interior-cov-4.webp,,2,4:5,560,"03 — Custom Interiors",""
063,"Interior Transformation 3. Reference, large left",interior-ref-1.webp,,2,1.56:1,1340,"03 — Custom Interiors","The biggest frame in the mosaic."
064,"Interior Transformation 3. Reference, small upper right",interior-ref-2.webp,,2,2.32:1,960,"03 — Custom Interiors","Wide crop, roughly 2.3 to 1."
065,"Interior Transformation 3. Reference, small lower right",interior-ref-3.webp,,2,2.32:1,960,"03 — Custom Interiors","Wide crop, roughly 2.3 to 1."
066,"Interior Transformation 3. Reference, full width band",interior-ref-4.webp,,2,4.83:1,2320,"03 — Custom Interiors","Very wide letterbox. A detail crop works, a whole car does not."
067,"Suspension 1. Overview frame",suspension-overview.webp,,2,4:3,1100,"08 — Suspension","One strong wide shot of the work being performed."
068,"Suspension 2. Coverage card 1",suspension-cov-1.webp,,2,4:5,560,"08 — Suspension",""
069,"Suspension 2. Coverage card 2",suspension-cov-2.webp,,2,4:5,560,"08 — Suspension",""
070,"Suspension 2. Coverage card 3",suspension-cov-3.webp,,2,4:5,560,"08 — Suspension",""
071,"Suspension 2. Coverage card 4",suspension-cov-4.webp,,2,4:5,560,"08 — Suspension",""
072,"Suspension 3. Reference, large left",suspension-ref-1.webp,,2,1.56:1,1340,"08 — Suspension","The biggest frame in the mosaic."
073,"Suspension 3. Reference, small upper right",suspension-ref-2.webp,,2,2.32:1,960,"08 — Suspension","Wide crop, roughly 2.3 to 1."
074,"Suspension 3. Reference, small lower right",suspension-ref-3.webp,,2,2.32:1,960,"08 — Suspension","Wide crop, roughly 2.3 to 1."
075,"Suspension 3. Reference, full width band",suspension-ref-4.webp,,2,4.83:1,2320,"08 — Suspension","Very wide letterbox. A detail crop works, a whole car does not."
076,"Paint & Body 1. Overview frame",paintbody-overview.webp,,2,4:3,1100,"06 — Paint & Body","One strong wide shot of the work being performed."
077,"Paint & Body 2. Coverage card 1",paintbody-cov-1.webp,,2,4:5,560,"06 — Paint & Body",""
078,"Paint & Body 2. Coverage card 2",paintbody-cov-2.webp,,2,4:5,560,"06 — Paint & Body",""
079,"Paint & Body 2. Coverage card 3",paintbody-cov-3.webp,,2,4:5,560,"06 — Paint & Body",""
080,"Paint & Body 2. Coverage card 4",paintbody-cov-4.webp,,2,4:5,560,"06 — Paint & Body",""
081,"Paint & Body 3. Reference, large left",paintbody-ref-1.webp,,2,1.56:1,1340,"06 — Paint & Body","The biggest frame in the mosaic."
082,"Paint & Body 3. Reference, small upper right",paintbody-ref-2.webp,,2,2.32:1,960,"06 — Paint & Body","Wide crop, roughly 2.3 to 1."
083,"Paint & Body 3. Reference, small lower right",paintbody-ref-3.webp,,2,2.32:1,960,"06 — Paint & Body","Wide crop, roughly 2.3 to 1."
084,"Paint & Body 3. Reference, full width band",paintbody-ref-4.webp,,2,4.83:1,2320,"06 — Paint & Body","Very wide letterbox. A detail crop works, a whole car does not."
085,"Lighting 1. Overview frame",lighting-overview.webp,,2,4:3,1100,"NO FOLDER SUPPLIED","One strong wide shot of the work being performed."
086,"Lighting 2. Coverage card 1",lighting-cov-1.webp,,2,4:5,560,"NO FOLDER SUPPLIED",""
087,"Lighting 2. Coverage card 2",lighting-cov-2.webp,,2,4:5,560,"NO FOLDER SUPPLIED",""
088,"Lighting 2. Coverage card 3",lighting-cov-3.webp,,2,4:5,560,"NO FOLDER SUPPLIED",""
089,"Lighting 2. Coverage card 4",lighting-cov-4.webp,,2,4:5,560,"NO FOLDER SUPPLIED",""
090,"Lighting 3. Reference, large left",lighting-ref-1.webp,,2,1.56:1,1340,"NO FOLDER SUPPLIED","The biggest frame in the mosaic."
091,"Lighting 3. Reference, small upper right",lighting-ref-2.webp,,2,2.32:1,960,"NO FOLDER SUPPLIED","Wide crop, roughly 2.3 to 1."
092,"Lighting 3. Reference, small lower right",lighting-ref-3.webp,,2,2.32:1,960,"NO FOLDER SUPPLIED","Wide crop, roughly 2.3 to 1."
093,"Lighting 3. Reference, full width band",lighting-ref-4.webp,,2,4.83:1,2320,"NO FOLDER SUPPLIED","Very wide letterbox. A detail crop works, a whole car does not."
094,"Audio 1. Overview frame",audio-overview.webp,,2,4:3,1100,"07 — Audio","One strong wide shot of the work being performed."
095,"Audio 2. Coverage card 1",audio-cov-1.webp,,2,4:5,560,"07 — Audio",""
096,"Audio 2. Coverage card 2",audio-cov-2.webp,,2,4:5,560,"07 — Audio",""
097,"Audio 2. Coverage card 3",audio-cov-3.webp,,2,4:5,560,"07 — Audio",""
098,"Audio 2. Coverage card 4",audio-cov-4.webp,,2,4:5,560,"07 — Audio",""
099,"Audio 3. Reference, large left",audio-ref-1.webp,,2,1.56:1,1340,"07 — Audio","The biggest frame in the mosaic."
100,"Audio 3. Reference, small upper right",audio-ref-2.webp,,2,2.32:1,960,"07 — Audio","Wide crop, roughly 2.3 to 1."
101,"Audio 3. Reference, small lower right",audio-ref-3.webp,,2,2.32:1,960,"07 — Audio","Wide crop, roughly 2.3 to 1."
102,"Audio 3. Reference, full width band",audio-ref-4.webp,,2,4.83:1,2320,"07 — Audio","Very wide letterbox. A detail crop works, a whole car does not."
103,"Truck Accessories 1. Overview frame",truck-overview.webp,,2,4:3,1100,"09 — Truck Accessories","One strong wide shot of the work being performed."
104,"Truck Accessories 2. Coverage card 1",truck-cov-1.webp,,2,4:5,560,"09 — Truck Accessories",""
105,"Truck Accessories 2. Coverage card 2",truck-cov-2.webp,,2,4:5,560,"09 — Truck Accessories",""
106,"Truck Accessories 2. Coverage card 3",truck-cov-3.webp,,2,4:5,560,"09 — Truck Accessories",""
107,"Truck Accessories 2. Coverage card 4",truck-cov-4.webp,,2,4:5,560,"09 — Truck Accessories",""
108,"Truck Accessories 3. Reference, large left",truck-ref-1.webp,,2,1.56:1,1340,"09 — Truck Accessories","The biggest frame in the mosaic."
109,"Truck Accessories 3. Reference, small upper right",truck-ref-2.webp,,2,2.32:1,960,"09 — Truck Accessories","Wide crop, roughly 2.3 to 1."
110,"Truck Accessories 3. Reference, small lower right",truck-ref-3.webp,,2,2.32:1,960,"09 — Truck Accessories","Wide crop, roughly 2.3 to 1."
111,"Truck Accessories 3. Reference, full width band",truck-ref-4.webp,,2,4.83:1,2320,"09 — Truck Accessories","Very wide letterbox. A detail crop works, a whole car does not."
